date,product_id,competitor_id,price,demand,market_share,seasonality_factor
2024-01-01,P001,COMP001,28.99,180,0.35,1.2
2024-01-01,P001,COMP002,30.99,160,0.30,1.2
2024-01-01,P001,COMP003,29.49,170,0.35,1.2
2024-01-01,P002,COMP001,18.99,220,0.40,1.1
2024-01-01,P002,COMP002,20.99,200,0.35,1.1
2024-01-01,P002,COMP003,19.49,210,0.25,1.1
2024-01-01,P003,COMP001,48.99,110,0.30,1.3
2024-01-01,P003,COMP002,50.99,90,0.25,1.3
2024-01-01,P003,COMP003,49.49,100,0.45,1.3
2024-01-02,P001,COMP001,28.49,190,0.35,1.2
2024-01-02,P001,COMP002,30.49,170,0.30,1.2
2024-01-02,P001,COMP003,28.99,180,0.35,1.2
2024-01-02,P002,COMP001,18.49,230,0.40,1.1
2024-01-02,P002,COMP002,20.49,210,0.35,1.1
2024-01-02,P002,COMP003,18.99,220,0.25,1.1
2024-01-02,P003,COMP001,48.49,120,0.30,1.3
2024-01-02,P003,COMP002,50.49,100,0.25,1.3
2024-01-02,P003,COMP003,48.99,110,0.45,1.3 
