Product ID,Store ID,Current Stock,Current Reorder Point,Optimal Safety Stock,Optimal Reorder Point,Min Stock Level,Max Stock Level,Reorder Point Change (%)
1067,19,373.0,49.0,,,,,
1099,24,97.0,105.0,,,,,
1181,32,633.0,63.0,,,,,
1208,48,154.0,30.0,,,,,
1222,84,664.0,98.0,,,,,
1321,21,620.0,82.0,,,,,
1400,23,398.0,77.0,,,,,
1729,26,677.0,68.0,,,,,
1862,86,462.0,81.0,,,,,
1926,17,860.0,182.0,,,,,
1971,38,195.0,168.0,,,,,
2030,2,567.0,182.0,,,,,
2120,12,872.0,44.0,,,,,
2149,36,299.0,10.0,,,,,
2188,70,96.0,29.0,,,,,
2227,26,2.0,142.0,,,,,
2440,56,826.0,185.0,,,,,
2459,98,328.0,99.0,,,,,
2518,54,100.0,79.0,,,,,
2684,65,171.0,94.0,,,,,
2844,1,275.0,96.0,,,,,
3027,51,638.0,79.0,,,,,
3051,65,497.0,138.0,,,,,
3092,16,897.0,24.0,,,,,
3137,26,55.0,141.0,,,,,
3178,11,949.0,13.0,,,,,
3269,25,851.0,95.0,,,,,
3340,82,910.0,152.0,,,,,
3383,23,567.0,76.0,,,,,
3452,69,858.0,185.0,,,,,
3518,73,355.0,166.0,,,,,
3547,30,556.0,88.0,,,,,
3613,33,220.0,100.0,,,,,
3722,70,139.0,26.0,,,,,
3753,39,924.0,61.0,,,,,
3778,76,332.0,172.0,,,,,
3895,28,688.0,31.0,,,,,
3925,52,274.0,140.0,,,,,
4040,58,441.0,185.0,,,,,
4094,97,448.0,40.0,,,,,
4272,4,932.0,123.0,,,,,
4443,75,518.0,75.0,,,,,
4605,37,896.0,29.0,,,,,
4893,56,727.0,80.0,,,,,
4898,93,505.0,181.0,,,,,
4938,51,585.0,121.0,,,,,
4973,55,410.0,129.0,,,,,
5073,98,896.0,91.0,,,,,
5108,66,415.0,90.0,,,,,
5186,14,776.0,195.0,,,,,
5192,28,533.0,108.0,,,,,
5233,56,425.0,160.0,,,,,
5405,22,871.0,34.0,,,,,
5652,42,751.0,132.0,,,,,
5724,84,816.0,69.0,,,,,
6040,3,982.0,80.0,,,,,
6081,68,680.0,187.0,,,,,
6083,97,394.0,16.0,,,,,
6138,64,438.0,88.0,,,,,
6174,61,599.0,114.0,,,,,
6188,50,290.0,171.0,,,,,
6404,82,288.0,13.0,,,,,
6410,27,331.0,35.0,,,,,
6417,75,404.0,132.0,,,,,
6435,73,2.0,132.0,,,,,
6473,89,524.0,65.0,,,,,
6520,32,361.0,96.0,,,,,
6565,49,395.0,188.0,,,,,
6583,94,184.0,81.0,,,,,
6820,47,240.0,152.0,,,,,
6895,2,594.0,53.0,,,,,
6940,43,914.0,179.0,,,,,
6949,2,703.0,101.0,,,,,
6997,30,678.0,199.0,,,,,
7024,89,441.0,152.0,,,,,
7133,43,143.0,161.0,,,,,
7262,43,822.0,187.0,,,,,
7332,84,787.0,137.0,,,,,
7505,92,835.0,12.0,,,,,
7577,34,204.0,62.0,,,,,
7658,20,74.0,152.0,,,,,
7666,49,275.0,94.0,,,,,
7839,38,381.0,90.0,,,,,
7845,7,779.0,199.0,,,,,
7932,14,459.0,137.0,,,,,
7960,7,128.0,128.0,,,,,
7980,95,871.0,41.0,,,,,
7991,44,608.0,39.0,,,,,
8050,74,78.0,100.0,,,,,
8163,84,505.0,40.0,,,,,
8167,99,482.0,172.0,,,,,
8187,93,392.0,90.0,162.8466917072619,469.8466917072619,162.8466917072619,776.8466917072619,422.05187967473546
8213,25,855.0,154.0,,,,,
8222,88,635.0,151.0,,,,,
8238,56,339.0,17.0,,,,,
8284,56,637.0,65.0,,,,,
8342,83,386.0,79.0,,,,,
8347,43,900.0,197.0,,,,,
8404,21,829.0,128.0,,,,,
8511,40,836.0,38.0,,,,,
8520,63,393.0,123.0,,,,,
8595,20,634.0,129.0,,,,,
8694,29,396.0,138.0,,,,,
8730,45,13.0,51.0,,,,,
8748,3,416.0,137.0,,,,,
8944,31,668.0,93.0,,,,,
9048,29,211.0,72.0,,,,,
9072,49,281.0,116.0,,,,,
9222,4,207.0,92.0,,,,,
9252,12,106.0,22.0,,,,,
9255,25,695.0,24.0,,,,,
9291,86,285.0,103.0,,,,,
9340,3,654.0,42.0,,,,,
9426,31,644.0,87.0,,,,,
9461,1,31.0,27.0,,,,,
9556,17,198.0,188.0,,,,,
9633,80,229.0,75.0,,,,,
9651,71,558.0,43.0,,,,,
9739,16,539.0,26.0,,,,,
9818,59,627.0,24.0,,,,,
9896,62,879.0,17.0,,,,,
