Product ID,Store ID,Price,Competitor Prices,Elasticity Index,Sales Volume,Price_Ratio,Price_Strategy
9502,13,31.61,56.14,1.78,255,0.5630566441040257,Increase
2068,77,35.51,63.04,1.67,5,0.5632931472081218,Maintain
7103,59,6.54,30.61,2.46,184,0.21365566808232606,Maintain
5288,19,13.61,15.94,0.88,337,0.8538268506900878,Increase
7212,66,62.68,30.64,1.0,80,2.045691906005222,Maintain
4809,6,44.87,68.31,1.48,452,0.6568584394671351,Increase
2127,6,34.99,88.04,2.45,233,0.39743298500681506,Maintain
2914,86,27.91,59.28,1.7,427,0.4708164642375169,Increase
7111,38,57.49,8.87,1.99,326,6.481397970687712,Decrease
3500,19,62.71,75.97,2.0,41,0.8254574174016059,Maintain
6842,9,12.02,59.85,1.5,391,0.20083542188805345,Increase
4766,60,63.8,7.16,1.65,40,8.910614525139664,Decrease
8681,5,59.02,94.67,1.72,480,0.6234287525087145,Increase
7044,39,20.23,5.57,2.37,345,3.631956912028725,Decrease
2376,48,39.26,91.32,2.32,274,0.42991677617170393,Increase
9814,28,74.7,7.05,1.31,430,10.595744680851064,Maintain
3161,95,73.32,85.14,1.08,172,0.8611698379140239,Maintain
9681,62,47.46,5.97,0.97,233,7.949748743718594,Maintain
3684,76,20.31,82.82,0.78,309,0.2452306206230379,Increase
8289,47,64.62,90.65,2.12,51,0.7128516271373414,Maintain
2211,22,88.65,54.55,2.15,376,1.6251145737855182,Decrease
1343,74,68.81,35.24,1.97,330,1.9526106696935301,Decrease
6001,11,43.99,15.64,0.6,184,2.8126598465473145,Maintain
9130,56,46.39,74.51,1.59,355,0.6226009931552812,Increase
2760,92,32.47,99.4,0.57,363,0.3266599597585513,Increase
6920,16,90.91,68.33,1.77,135,1.3304551441533734,Decrease
5122,65,20.78,59.2,0.83,15,0.3510135135135135,Maintain
8445,49,65.6,44.04,2.1,183,1.489554950045413,Decrease
7375,73,65.77,90.17,0.57,44,0.729400022180326,Increase
6990,45,70.35,96.04,0.96,209,0.7325072886297375,Maintain
7309,38,5.48,11.21,2.08,472,0.4888492417484389,Increase
2665,32,98.37,87.65,2.04,213,1.1223046206503138,Decrease
6911,11,32.66,29.86,0.89,224,1.0937709310113863,Maintain
8109,68,94.26,29.21,2.02,345,3.2269770626497776,Decrease
1792,12,40.25,13.52,1.95,251,2.9770710059171597,Decrease
6020,24,47.43,27.33,1.54,201,1.7354555433589463,Decrease
6654,28,92.37,47.49,1.93,225,1.945041061276058,Decrease
7945,59,32.07,65.22,2.44,130,0.49172033118675257,Maintain
6028,80,68.28,56.26,2.3,92,1.21365090650551,Decrease
9905,30,52.76,84.37,1.67,36,0.6253407609339812,Maintain
5279,16,35.31,17.69,1.4,84,1.9960429621254947,Maintain
